Character,Count,Mapped,Raw,First Appearance
\uf021,68317,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf031,40325,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf030,33813,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf020,23276,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf04a,19203,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf061,13409,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf027,12195,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf041,7433,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf05c,7080,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf053,6774,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf03f,6757,I,,TestBed/b2110_Verses.pdf
\uf03c,6711,I,,TestBed/b2110_Verses.pdf
\uf056,6565,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf071,6151,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf040,6013,Yes,,TestBed/b2110_Verses.pdf
\uf043,5194,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf06d,4821,Yes,,TestBed/b2110_Verses.pdf
\uf04f,4497,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf04d,4488,I,,TestBed/b2110_Verses.pdf
\uf033,4163,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf073,4153,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf076,3966,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf060,3614,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf091,3575,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf05f,3271,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf04e,3088,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf062,3035,Yes,,TestBed/b2200_Lord_I_have_cried.pdf
\uf06f,2867,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf032,2586,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
\uf022,2488,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf0d7,2445,I,,TestBed/b2100_Lord_I_have_cried.pdf
\uf029,2432,Yes,,TestBed/b2100_Lord_I_have_cried.pdf
